age	d18O
8294.32	-8.98
8294.67	-8.86
8295.02	-8.98
8295.37	-8.97
8295.72	-9.03
8296.07	-8.89
8296.42	-8.86
8296.77	-8.93
8297.12	-8.88
8297.47	-8.96
8297.82	-9.01
8298.17	-8.99
8298.52	-8.95
8298.87	-8.91
8299.22	-8.94
8299.57	-8.87
8299.92	-8.89
8300.27	-8.96
8300.62	-8.88
8300.97	-8.94
8301.32	-8.92
8301.67	-8.97
8302.02	-8.84
8302.37	-8.84
8302.72	-8.88
8303.07	-8.93
8303.42	-8.95
8303.77	-8.94
8304.12	-9.04
8304.47	-9.05
8304.82	-8.99
8305.17	-9.09
8305.52	-9.04
8305.87	-9.03
8306.22	-9.03
8306.57	-9.03
8306.92	-9.06
8307.27	-9.05
8307.62	-9.14
8307.97	-8.88
8308.32	-8.99
8308.67	-9.01
8309.02	-8.89
8309.37	-8.96
8309.72	-8.91
8310.07	-8.91
8310.42	-8.86
8310.77	-8.96
8311.12	-8.95
8311.47	-8.88
8311.82	-8.94
8312.17	-9
8312.52	-8.96
8312.87	-8.86
8313.22	-8.99
8313.57	-8.88
8313.92	-9.03
8314.27	-8.85
8314.62	-8.83
8314.97	-9.02
8315.32	-8.96
8315.67	-9.03
8316.02	-8.88
8316.37	-8.97
8316.72	-8.83
